Name,Count_doggos,Count_babies,Per_100k_doggos,Per_100k_babies
DESMOND,6,31,30.32907041399181,9.157184549761913
DESTINY,14,321,70.76783096598089,94.82116904753465
DEVON,1,10,5.0548450689986355,2.9539304999231977
DIANA,4,354,20.219380275994542,104.5691396972812
DIEGO,31,350,156.7001971389577,103.38756749731192
DILLON,5,10,25.274225344993177,2.9539304999231977
DINA,1,228,5.0548450689986355,67.34961539824891
DOMINIC,5,409,25.274225344993177,120.8157574468588
DOMINICK,2,200,10.109690137997271,59.07860999846395
DORIS,5,23,25.274225344993177,6.794040149823355
DOV,1,235,5.0548450689986355,69.41736674819515
DREW,4,44,20.219380275994542,12.99729419966207
DULCE,15,46,75.82267603497952,13.58808029964671
DWAYNE,1,14,5.0548450689986355,4.135502699892477
DYLAN,18,2950,90.98721124197543,871.4094974773434
EAN,1,34,5.0548450689986355,10.043363699738872
EDDIE,17,24,85.9323661729768,7.089433199815675
EDDY,5,22,25.274225344993177,6.498647099831035
EDEN,3,208,15.164535206995906,61.441754398402516
EDGAR,9,136,45.493605620987715,40.17345479895549
EDISON,6,118,30.32907041399181,34.85637989909373
EDITH,3,42,15.164535206995906,12.406508099677431
EDUARDO,1,159,5.0548450689986355,46.96749494877884
EDWARD,4,542,20.219380275994542,160.10303309583733
EGYPT,9,71,45.493605620987715,20.972906549454706
ELAINE,1,109,5.0548450689986355,32.197842449162856
ELEANOR,27,389,136.48081686296314,114.90789644701239
ELENA,1,397,5.0548450689986355,117.27104084695095
ELI,37,1044,187.0292675529495,308.39034419198185
ELIAS,1,675,5.0548450689986355,199.39030874481585
ELIJAH,1,1639,5.0548450689986355,484.14920893741214
ELIOT,2,10,10.109690137997271,2.9539304999231977
ELISE,1,114,5.0548450689986355,33.67480769912446
ELIZA,6,178,30.32907041399181,52.57996289863292
ELIZABETH,9,1270,45.493605620987715,375.14917349024614
ELLA,82,1139,414.49729565788806,336.45268394125225
ELLE,2,119,10.109690137997271,35.15177294908605
ELLIE,86,271,434.71667593388264,80.05151654791867
